"filename", "language", "Python", "JavaScript", "SCSS", "CSS", "comment", "blank", "total"
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\he.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\hi.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\hr.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\hsb.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\hu.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\hy.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\id.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\is.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\it.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\ja.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\ka.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\km.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\ko.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\lt.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\lv.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\mk.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\ms.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\nb.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\ne.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\nl.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\pa.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\pl.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\ps.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\pt-BR.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\pt.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\ro.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\ru.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\sk.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\sl.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\sq.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\sr-Cyrl.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\sr.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\sv.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\te.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\th.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\tk.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\tr.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\uk.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\vi.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\zh-CN.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\i18n\zh-TW.js", "JavaScript", 0, -1, 0, 0, -1, -1, -3
"d:\UAC TRY-1\static\assets\select2\dist\js\select2.full.js", "JavaScript", 0, -4879, 0, 0, -369, -1274, -6522
"d:\UAC TRY-1\static\assets\select2\dist\js\select2.full.min.js", "JavaScript", 0, -1, 0, 0, -1, 0, -2
"d:\UAC TRY-1\static\assets\select2\dist\js\select2.js", "JavaScript", 0, -4659, 0, 0, -326, -1225, -6210
"d:\UAC TRY-1\static\assets\select2\dist\js\select2.min.js", "JavaScript", 0, -1, 0, 0, -1, 0, -2
"d:\UAC TRY-1\static\assets\select2\src\js\banner.end.js", "JavaScript", 0, -5, 0, 0, -1, -1, -7
"d:\UAC TRY-1\static\assets\select2\src\js\banner.start.js", "JavaScript", 0, -4, 0, 0, -2, -1, -7
"d:\UAC TRY-1\static\assets\select2\src\js\jquery.mousewheel.shim.js", "JavaScript", 0, -5, 0, 0, -1, -1, -7
"d:\UAC TRY-1\static\assets\select2\src\js\jquery.select2.js", "JavaScript", 0, -44, 0, 0, -2, -13, -59
"d:\UAC TRY-1\static\assets\select2\src\js\jquery.shim.js", "JavaScript", 0, -11, 0, 0, -1, -3, -15
"d:\UAC TRY-1\static\assets\select2\src\js\select2\core.js", "JavaScript", 0, -435, 0, 0, -29, -143, -607
"d:\UAC TRY-1\static\assets\select2\src\js\select2\data\ajax.js", "JavaScript", 0, -84, 0, 0, -4, -23, -111
"d:\UAC TRY-1\static\assets\select2\src\js\select2\data\array.js", "JavaScript", 0, -57, 0, 0, -2, -25, -84
"d:\UAC TRY-1\static\assets\select2\src\js\select2\data\base.js", "JavaScript", 0, -29, 0, 0, -2, -10, -41
"d:\UAC TRY-1\static\assets\select2\src\js\select2\data\maximumInputLength.js", "JavaScript", 0, -24, 0, 0, 0, -8, -32
"d:\UAC TRY-1\static\assets\select2\src\js\select2\data\maximumSelectionLength.js", "JavaScript", 0, -43, 0, 0, 0, -12, -55
"d:\UAC TRY-1\static\assets\select2\src\js\select2\data\minimumInputLength.js", "JavaScript", 0, -23, 0, 0, 0, -8, -31
"d:\UAC TRY-1\static\assets\select2\src\js\select2\data\select.js", "JavaScript", 0, -213, 0, 0, -4, -75, -292
"d:\UAC TRY-1\static\assets\select2\src\js\select2\data\tags.js", "JavaScript", 0, -94, 0, 0, 0, -37, -131
"d:\UAC TRY-1\static\assets\select2\src\js\select2\data\tokenizer.js", "JavaScript", 0, -81, 0, 0, -7, -29, -117
"d:\UAC TRY-1\static\assets\select2\src\js\select2\defaults.js", "JavaScript", 0, -333, 0, 0, -21, -84, -438
"d:\UAC TRY-1\static\assets\select2\src\js\select2\diacritics.js", "JavaScript", 0, -848, 0, 0, 0, -3, -851
"d:\UAC TRY-1\static\assets\select2\src\js\select2\dropdown.js", "JavaScript", 0, -29, 0, 0, -3, -11, -43
"d:\UAC TRY-1\static\assets\select2\src\js\select2\dropdown\attachBody.js", "JavaScript", 0, -191, 0, 0, -6, -64, -261
"d:\UAC TRY-1\static\assets\select2\src\js\select2\dropdown\attachContainer.js", "JavaScript", 0, -14, 0, 0, 0, -5, -19
"d:\UAC TRY-1\static\assets\select2\src\js\select2\dropdown\closeOnSelect.js", "JavaScript", 0, -25, 0, 0, -1, -10, -36
"d:\UAC TRY-1\static\assets\select2\src\js\select2\dropdown\dropdownCss.js", "JavaScript", 0, -16, 0, 0, 0, -8, -24
"d:\UAC TRY-1\static\assets\select2\src\js\select2\dropdown\hidePlaceholder.js", "JavaScript", 0, -31, 0, 0, 0, -12, -43
"d:\UAC TRY-1\static\assets\select2\src\js\select2\dropdown\infiniteScroll.js", "JavaScript", 0, -68, 0, 0, 0, -25, -93
"d:\UAC TRY-1\static\assets\select2\src\js\select2\dropdown\minimumResultsForSearch.js", "JavaScript", 0, -29, 0, 0, 0, -11, -40
"d:\UAC TRY-1\static\assets\select2\src\js\select2\dropdown\search.js", "JavaScript", 0, -87, 0, 0, -4, -28, -119
"d:\UAC TRY-1\static\assets\select2\src\js\select2\dropdown\selectOnClose.js", "JavaScript", 0, -35, 0, 0, -4, -12, -51
"d:\UAC TRY-1\static\assets\select2\src\js\select2\dropdown\stopPropagation.js", "JavaScript", 0, -33, 0, 0, 0, -6, -39
"d:\UAC TRY-1\static\assets\select2\src\js\select2\dropdown\tagsSearchHighlight.js", "JavaScript", 0, -25, 0, 0, 0, -7, -32
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\af.js", "JavaScript", 0, -39, 0, 0, -1, -8, -48
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\ar.js", "JavaScript", 0, -30, 0, 0, -1, -2, -33
"d:\UAC TRY-1\static\assets\select2\src\js\select2\i18n\az.js", "JavaScript", 0, -27, 0, 0, -1, -3, -31
